AlunoID,Código,Disciplina,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
1,DC/CCN061,PROCESSAMENTO DE LINGUAGEM NATURAL,"7,1","9,4","10,0",,,,"8,8",10,AM
1,DC/CCN040,SEGURANÇA EM SISTEMAS,"9,3","8,5","8,1",,,,"8,6",14,AM
1,DC/CCN038,SISTEMAS DISTRIBUÍDOS,"8,0","10,0","9,0",,,,"9,0",14,AM
1,DC/CCN071,TÓPICOS EM ENGENHARIA DE SOFTWARE,"9,4","9,0","7,5",,,,"8,6",12,AM
1,DC/CCN032,COMPUTAÇÃO GRÁFICA,"8,0","7,0","10,0",,,,"8,3",10,AM
1,DC/CCN033,SISTEMAS OPERACIONAIS,"4,0","9,0","9,0",,,,"7,3",6,AM
1,DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"6,0","9,0","10,0",,,,"8,3",4,AM
1,DFIS/CCN020,ELETRICIDADE E MAGNETISMO,"6,0","9,0","10,0",,,,"8,3",10,AM
1,DC/CCN044,ENGENHARIA DE SOFTWARE II,"9,5","9,0","9,0",,,,"9,2",2,AM
1,DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"8,0","9,5","3,6",,,,"7,0",14,AM
1,DC/CCN042,COMPILADORES,"8,9","6,4","6,7",,,,"7,3",12,AM
1,DC/CCN039,ENGENHARIA DE SOFTWARE I,"8,2","8,5","6,5",,,,"7,7",12,AM
1,DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"10,0","10,0","10,0",,,,"10,0",0,AM
1,DC/CCN058,SISTEMAS EMBARCADOS,"9,8","6,0","10,0",,,,"8,6",6,AM
1,DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"7,7","7,0","9,2",,,,"8,0",10,AM
1,DC/CCN035,REDES DE COMPUTADORES,"7,5","8,0","7,8",,,,"7,8",6,AM
1,DC/CCN030,TEORIA DA COMPUTAÇÃO,"6,5","7,0","10,0",,,,"7,8",12,AM
1,DC/CCN031,ARQUITETURA DE COMPUTADORES,"6,8","7,0","7,5",,,,"7,1",0,AM
1,DC/CCN034,PROGRAMAÇÃO LINEAR,"8,0","6,0","9,2",,,,"7,7",0,AM
1,DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"6,3","8,3","7,6",,,,"7,4",6,AM
1,DMAT/CCN034,ÁLGEBRA LINEAR,"10,0","7,0","5,5",,,,"7,5",0,AM
1,DC/CCN031,ARQUITETURA DE COMPUTADORES,"7,0","0,0","0,0",,,,"2,3",0,RN
1,DC/CCN025,BANCO DE DADOS,"10,0","9,0","10,0",,,,"9,7",0,AM
1,DC/CCN027,INTERFACE HUMANO COMPUTADOR,"10,0","9,5","9,6",,,,"9,7",0,AM
1,CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"9,3","8,7","9,3",,,,"9,1",0,AM
1,DC/CCN028,TEORIA E APLICAÇÕES EM GRAFOS,"9,6","10,0","10,0",,,,"9,9",0,AM
1,DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"9,3","9,2","9,3",,,,"9,3",0,AM
1,DC/CCN029,CIRCUITOS DIGITAIS,"10,0","8,7","8,4",,,,"9,0",2,AM
1,DC/CCN022,ESTRUTURAS DE DADOS,"7,9","9,8","9,0",,,,"8,9",4,AM
1,DC/CCN024,LABORATÓRIO DE PROGRAMAÇÃO,"10,0","8,3","10,0",,,,"9,4",4,AM
1,DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","8,0",,,,"7,3",0,AM
1,DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"10,0","10,0","10,0",,,,"10,0",2,AM
1,DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"8,0","10,0","10,0",,,,"9,3",0,AM
1,DC/CCN021,INFORMÁTICA E SOCIEDADE,"9,0","9,0","9,0",,,,"9,0",0,AM
1,CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"9,5","9,8","8,3",,,,"9,2",0,AM
1,DC/CCN019,INTRODUÇÃO À LÓGICA,"10,0","9,5","9,9",,,,"9,8",0,AM
1,DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"10,0","7,5","10,0",,,,"9,2",0,AM
1,DC/CCN026,PROGRAMAÇÃO ESTRUTURADA,"9,3","5,4","8,0",,,,"7,6",0,AM
1,DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"10,0",,,,,,"10,0",0,AM
2,DC/CCN045,BANCOS DE DADOS RELACIONAIS,"8,5","8,5","8,5",,,,"8,5",5,AM
2,DC/CCN042,COMPILADORES,"5,0","6,1","10,0",,,,"7,0",14,AM
2,DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"4,3","7,5","9,5",,,,"7,1",12,AM
2,DC/CCN058,SISTEMAS EMBARCADOS,"9,5","9,3","6,7",,,,"8,5",14,AM
2,DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"10,0","10,0","10,0",,,,"10,0",0,AM
2,DC/CCN044,ENGENHARIA DE SOFTWARE II,"8,1","7,4","9,8",,,,"8,4",7,AM
2,DEFE/CCE007,"RELAÇÕES ÉTNICO-RACIAIS, GÊNERO E
DIVERSIDADE","9,0","8,0","10,0",,,,"9,0",0,AM
2,DC/CCN038,SISTEMAS DISTRIBUÍDOS,"9,2","10,0","10,0",,,,"9,7",14,AM
2,DC/CCN030,TEORIA DA COMPUTAÇÃO,"7,0","9,0","8,8",,,,"8,3",14,AM
2,DC/CCN081,VISÃO COMPUTACIONAL,"8,6","9,2","7,5",,,,"8,4",10,AM
2,DC/CCN039,ENGENHARIA DE SOFTWARE I,"7,0","8,7","5,5",,,,"7,1",12,AM
2,DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"1,9","10,0","8,2",,,"8,0","7,4",6,EF
2,DC/CCN034,PROGRAMAÇÃO LINEAR,"5,0","7,0","3,0",,,"7,0","6,0",0,EF
2,DC/CCN040,SEGURANÇA EM SISTEMAS,"4,5","7,0","8,6",,,"7,1","6,9",10,EF
2,DC/CCN032,COMPUTAÇÃO GRÁFICA,"7,4","5,7","8,4",,,,"7,2",8,AM
2,DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"6,2","8,5","6,7",,,,"7,1",0,AM
2,DC/CCN034,PROGRAMAÇÃO LINEAR,"1,0","3,0","0,0",,,,"1,3",0,RN
2,DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"5,7","6,1","6,0",,,"7,7","6,8",6,EF
2,DC/CCN035,REDES DE COMPUTADORES,"7,0","8,2","6,9",,,,"7,4",0,AM
2,DC/CCN033,SISTEMAS OPERACIONAIS,"8,5","7,5","7,0",,,,"7,7",10,AM
2,DMAT/CCN034,ÁLGEBRA LINEAR,"5,0","9,0","7,0",,,,"7,0",0,AM
2,DC/CCN031,ARQUITETURA DE COMPUTADORES,"5,6","7,6","8,0",,,,"7,1",8,AM
2,DC/CCN025,BANCO DE DADOS,"8,0","9,5","10,0",,,,"9,2",0,AM
2,DC/CCN027,INTERFACE HUMANO COMPUTADOR,"8,0","9,5","8,0",,,,"8,5",6,AM
2,CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"6,0","8,0","7,0",,,,"7,0",4,AM
2,DC/CCN028,TEORIA E APLICAÇÕES EM GRAFOS,"8,4","10,0","10,0",,,,"9,5",0,AM
2,DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"1,6","8,6","8,5",,,"6,9","6,6",0,EF
2,DC/CCN029,CIRCUITOS DIGITAIS,"8,8","6,8","10,0",,,,"8,5",2,AM
2,DC/CCN022,ESTRUTURAS DE DADOS,"4,9","5,0","8,0",,,"7,7","6,9",13,EF
2,DC/CCN024,LABORATÓRIO DE PROGRAMAÇÃO,"8,0","7,5","7,9",,,,"7,8",8,AM
2,DMAT/CCN035,MATEMÁTICA DISCRETA,"5,0","10,0","8,0",,,,"7,7",0,AM
2,DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"8,4","7,0","3,0",,,"6,0","6,1",0,EF
2,DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"4,0","8,4","8,9",,,,"7,1",0,AM
2,DC/CCN021,INFORMÁTICA E SOCIEDADE,"10,0","10,0","9,0",,,,"9,7",0,AM
2,CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"9,0","9,5","9,0",,,,"9,2",0,AM
2,DC/CCN019,INTRODUÇÃO À LÓGICA,"9,0","9,0","9,5",,,,"9,2",0,AM
2,DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"10,0","10,0","9,0",,,,"9,7",0,AM
2,DC/CCN026,PROGRAMAÇÃO ESTRUTURADA,"9,1","3,4","9,0",,,,"7,2",0,AM
2,DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"9,3",,,,,,"9,3",2,AM
3,DC/CCN045,BANCOS DE DADOS RELACIONAIS,"10,0","10,0","10,0",,,,"10,0",2,AM
3,DC/CCN061,PROCESSAMENTO DE LINGUAGEM NATURAL,"8,1","9,4","10,0",,,,"9,2",11,AM
3,DC/CCN048,PROGRAMAÇÃO FUNCIONAL,"6,5","9,0","10,0",,,,"8,5",0,AM
3,DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"7,0","9,0","8,5",,,,"8,2",4,AM
3,DC/CCN071,TÓPICOS EM ENGENHARIA DE SOFTWARE,"8,2","9,2","9,0",,,,"8,8",0,AM
3,DC/CCN074,TÓPICOS EM REDES DE COMPUTADORES,"8,8","9,5","9,5",,,,"9,3",0,AM
3,DC/CCN044,ENGENHARIA DE SOFTWARE II,"9,5","9,0","9,0",,,,"9,2",2,AM
3,DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"7,3","8,0","6,1",,,,"7,1",8,AM
3,DC/CCN040,SEGURANÇA EM SISTEMAS,"7,1","7,0","8,6",,,,"7,6",8,AM
