Código,Disciplina,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"9,3","8,7","9,3",,,,"9,1",0,AM
CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"4,8","0,0","1,0",,,,"1,9",24,RF
CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"10,0","8,0","8,3",,,,"8,8",4,AM
CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"8,5","7,5","6,5",,,,"7,5",0,AM
CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"5,2","7,2","10,0",,,,"7,5",2,AM
CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"9,5","9,8","8,3",,,,"9,2",0,AM
CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"7,5","8,8","9,0",,,,"8,4",4,AM
CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"7,6","7,6","8,6",,,,"7,9",2,AM
CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"7,3","8,1","7,1",,,,"7,5",0,AM
DC/CCN019,INTRODUÇÃO À LÓGICA,"10,0","9,5","9,9",,,,"9,8",0,AM
DC/CCN019,INTRODUÇÃO À LÓGICA,"9,9","9,9","9,9",,,,"9,9",2,AM
DC/CCN019,INTRODUÇÃO À LÓGICA,"10,0","10,0","7,5",,,,"9,2",0,AM
DC/CCN019,INTRODUÇÃO À LÓGICA,"9,0","9,0","9,0",,,,"9,0",0,AM
DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"10,0",,,,,,"10,0",0,AM
DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"8,7",,,,,,"8,7",4,AM
DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"10,0",,,,,,"10,0",0,AM
DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"8,7",,,,,,"8,7",4,AM
DC/CCN021,INFORMÁTICA E SOCIEDADE,"9,0","9,0","9,0",,,,"9,0",0,AM
DC/CCN021,INFORMÁTICA E SOCIEDADE,"9,0","9,0","9,0",,,,"9,0",0,AM
DC/CCN021,INFORMÁTICA E SOCIEDADE,"9,5","9,5","9,5",,,,"9,5",0,AM
DC/CCN021,INFORMÁTICA E SOCIEDADE,"9,1","9,1","9,1",,,,"9,1",0,AM
DC/CCN022,ESTRUTURAS DE DADOS,"8,0","9,8","9,0",,,,"8,9",2,AM
DC/CCN022,ESTRUTURAS DE DADOS,"7,5","6,5","8,0",,,,"7,3",6,AM
DC/CCN022,ESTRUTURAS DE DADOS,"7,9","9,8","9,0",,,,"8,9",4,AM
DC/CCN022,ESTRUTURAS DE DADOS,"7,1","9,2","9,0",,,,"8,4",10,AM
DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"9,0","5,2","9,0",,,,"7,7",2,AM
DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"10,0","10,0","10,0",,,,"10,0",2,AM
DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"5,0","4,0","5,0",,,"0,0","2,4",13,RN
DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"10,0","10,0","10,0",,,,"10,0",2,AM
DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"10,0","8,0","10,0",,,,"9,3",3,AM
