AlunoID,Código,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
1,DC/CCN061,"7,1","9,4","10,0",,,,"8,8",10,AM
1,DC/CCN040,"9,3","8,5","8,1",,,,"8,6",14,AM
1,DC/CCN038,"8,0","10,0","9,0",,,,"9,0",14,AM
1,DC/CCN071,"9,4","9,0","7,5",,,,"8,6",12,AM
1,DC/CCN032,"8,0","7,0","10,0",,,,"8,3",10,AM
1,DC/CCN033,"4,0","9,0","9,0",,,,"7,3",6,AM
1,DC/CCN067,"6,0","9,0","10,0",,,,"8,3",4,AM
1,DFIS/CCN020,"6,0","9,0","10,0",,,,"8,3",10,AM
1,DC/CCN044,"9,5","9,0","9,0",,,,"9,2",2,AM
1,DC/CCN041,"8,0","9,5","3,6",,,,"7,0",14,AM
1,DC/CCN042,"8,9","6,4","6,7",,,,"7,3",12,AM
1,DC/CCN039,"8,2","8,5","6,5",,,,"7,7",12,AM
1,DC/CCN043,"10,0","10,0","10,0",,,,"10,0",0,AM
1,DC/CCN058,"9,8","6,0","10,0",,,,"8,6",6,AM
1,DC/CCN037,"7,7","7,0","9,2",,,,"8,0",10,AM
1,DC/CCN035,"7,5","8,0","7,8",,,,"7,8",6,AM
1,DC/CCN030,"6,5","7,0","10,0",,,,"7,8",12,AM
1,DC/CCN031,"6,8","7,0","7,5",,,,"7,1",0,AM
1,DC/CCN034,"8,0","6,0","9,2",,,,"7,7",0,AM
1,DC/CCN036,"6,3","8,3","7,6",,,,"7,4",6,AM
1,DMAT/CCN034,"10,0","7,0","5,5",,,,"7,5",0,AM
1,DC/CCN031,"7,0","0,0","0,0",,,,"2,3",0,RN
1,DC/CCN025,"10,0","9,0","10,0",,,,"9,7",0,AM
1,DC/CCN027,"10,0","9,5","9,6",,,,"9,7",0,AM
1,CGBEST/CCN013,"9,3","8,7","9,3",,,,"9,1",0,AM
1,DC/CCN028,"9,6","10,0","10,0",,,,"9,9",0,AM
1,DMAT/CCN033,"9,3","9,2","9,3",,,,"9,3",0,AM
1,DC/CCN029,"10,0","8,7","8,4",,,,"9,0",2,AM
1,DC/CCN022,"7,9","9,8","9,0",,,,"8,9",4,AM
1,DC/CCN024,"10,0","8,3","10,0",,,,"9,4",4,AM
1,DMAT/CCN035,"7,0","7,0","8,0",,,,"7,3",0,AM
1,DC/CCN023,"10,0","10,0","10,0",,,,"10,0",2,AM
1,DMAT/CCN032,"8,0","10,0","10,0",,,,"9,3",0,AM
1,DC/CCN021,"9,0","9,0","9,0",,,,"9,0",0,AM
1,CLE/CCHL002,"9,5","9,8","8,3",,,,"9,2",0,AM
1,DC/CCN019,"10,0","9,5","9,9",,,,"9,8",0,AM
1,DFIL/CCHL009,"10,0","7,5","10,0",,,,"9,2",0,AM
1,DC/CCN026,"9,3","5,4","8,0",,,,"7,6",0,AM
1,DC/CCN020,"10,0",,,,,,"10,0",0,AM
2,DC/CCN045,"8,5","8,5","8,5",,,,"8,5",5,AM
2,DC/CCN042,"5,0","6,1","10,0",,,,"7,0",14,AM
2,DC/CCN043,"4,3","7,5","9,5",,,,"7,1",12,AM
2,DC/CCN058,"9,5","9,3","6,7",,,,"8,5",14,AM
2,DC/CCN067,"10,0","10,0","10,0",,,,"10,0",0,AM
2,DC/CCN044,"8,1","7,4","9,8",,,,"8,4",7,AM
2,DEFE/CCE007,"9,0","8,0","10,0",,,,"9,0",0,AM
2,DC/CCN038,"9,2","10,0","10,0",,,,"9,7",14,AM
2,DC/CCN030,"7,0","9,0","8,8",,,,"8,3",14,AM
2,DC/CCN081,"8,6","9,2","7,5",,,,"8,4",10,AM
2,DC/CCN039,"7,0","8,7","5,5",,,,"7,1",12,AM
2,DC/CCN041,"1,9","10,0","8,2",,,"4,4","5,6",6,RN
2,DC/CCN034,"5,0","7,0","3,0",,,"8,5","6,8",0,AM
2,DC/CCN040,"4,5","7,0","8,6",,,"9,2","8,0",10,AM
2,DC/CCN032,"7,4","5,7","8,4",,,,"7,2",8,AM
2,DC/CCN037,"6,2","8,5","6,7",,,,"7,1",0,AM
2,DC/CCN034,"1,0","3,0","0,0",,,,"1,3",0,RN
2,DC/CCN036,"5,7","6,1","6,0",,,"6,2","6,1",6,AM
2,DC/CCN035,"7,0","8,2","6,9",,,,"7,4",0,AM
2,DC/CCN033,"8,5","7,5","7,0",,,,"7,7",10,AM
2,DMAT/CCN034,"5,0","9,0","7,0",,,,"7,0",0,AM
2,DC/CCN031,"5,6","7,6","8,0",,,,"7,1",8,AM
2,DC/CCN025,"8,0","9,5","10,0",,,,"9,2",0,AM
2,DC/CCN027,"8,0","9,5","8,0",,,,"8,5",6,AM
2,CGBEST/CCN013,"6,0","8,0","7,0",,,,"7,0",4,AM
2,DC/CCN028,"8,4","10,0","10,0",,,,"9,5",0,AM
2,DMAT/CCN033,"1,6","8,6","8,5",,,"6,1","6,2",0,AM
2,DC/CCN029,"8,8","6,8","10,0",,,,"8,5",2,AM
2,DC/CCN022,"4,9","5,0","8,0",,,"5,4","5,7",13,RN
2,DC/CCN024,"8,0","7,5","7,9",,,,"7,8",8,AM
2,DMAT/CCN035,"5,0","10,0","8,0",,,,"7,7",0,AM
2,DC/CCN023,"8,4","7,0","3,0",,,"7,1","6,6",0,AM
2,DMAT/CCN032,"4,0","8,4","8,9",,,,"7,1",0,AM
2,DC/CCN021,"10,0","10,0","9,0",,,,"9,7",0,AM
2,CLE/CCHL002,"9,0","9,5","9,0",,,,"9,2",0,AM
2,DC/CCN019,"9,0","9,0","9,5",,,,"9,2",0,AM
2,DFIL/CCHL009,"10,0","10,0","9,0",,,,"9,7",0,AM
2,DC/CCN026,"9,1","3,4","9,0",,,,"7,2",0,AM
2,DC/CCN020,"9,3",,,,,,"9,3",2,AM
3,DC/CCN049,"10,0","10,0","10,0",,,,"10,0",0,AM
3,DC/CCN058,"8,0","10,0","3,0",,,,"7,0",14,AM
3,DC/CCN071,"8,5","8,0","8,5",,,,"8,3",0,AM
3,DC/CCN049,"9,0","9,0","9,0",,,,"0,0",16,RF
3,DC/CCN068,"7,0","7,0","7,0",,,,"7,0",0,AM
3,DC/CCN070,"9,2","7,5","9,0",,,,"8,6",0,AM
3,DC/CCN074,"9,6","10,0","10,0",,,,"9,9",12,AM
3,DC/CCN050,"8,7","9,0","9,5",,,,"9,1",0,AM
3,DC/CCN048,"5,5","3,0","9,3",,,"6,8","6,4",8,AM
3,DC/CCN067,"6,0","10,0","7,0",,,,"7,7",8,AM
3,DC/CCN047,"9,5","9,5","9,5","9,5","9,5",,"9,5",0,AM
3,DC/CCN067,"8,3","7,0","0,0",,,"9,4","7,2",14,AM
3,DC/CCN046,"10,0","10,0","10,0",,,,"10,0",0,AM
3,DC/CCN041,"6,1","5,5","9,3",,,,"7,0",12,AM
